species,growth_form,ln_area_cm2,mortality
Acropora humilis,digitate,-3.331185502,0
Acropora humilis,digitate,-4.092544153,0
Acropora humilis,digitate,-4.421468388,0
Acropora humilis,digitate,-4.720891532,0
Acropora humilis,digitate,-3.360826924,0
Acropora humilis,digitate,-4.129662691,0
Acropora humilis,digitate,-3.481900692,0
Acropora humilis,digitate,-7.283169435,0
Acropora humilis,digitate,-4.037718183,0
Acropora humilis,digitate,-4.291130825,0
Acropora humilis,digitate,-2.658518265,0
Acropora humilis,digitate,-2.988380392,0
Acropora humilis,digitate,-4.164983876,0
Acropora humilis,digitate,-3.373758878,0
Acropora humilis,digitate,-3.888564864,0
Acropora humilis,digitate,-3.131641717,0
Acropora humilis,digitate,-5.178864581,1
Acropora humilis,digitate,-4.387572166,1
Acropora humilis,digitate,-4.124323205,0
Acropora humilis,digitate,-3.615396829,0
Acropora humilis,digitate,-5.817050012,1
Acropora humilis,digitate,-3.972578294,1
Acropora humilis,digitate,-2.96963484,1
Acropora humilis,digitate,-2.931947513,0
Acropora humilis,digitate,-2.62076041,0
Acropora humilis,digitate,-3.488521836,0
Acropora humilis,digitate,-3.897080699,0
Acropora humilis,digitate,-4.43519432,0
Acropora humilis,digitate,-4.122613918,0
Acropora humilis,digitate,-3.482386036,1
Acropora humilis,digitate,-4.087965822,0
Acropora humilis,digitate,-3.296955418,0
Acropora humilis,digitate,-4.511497408,0
Acropora humilis,digitate,-4.661843498,0
Acropora humilis,digitate,-2.530928711,0
Acropora humilis,digitate,-3.872669892,0
Acropora humilis,digitate,-4.318687791,1
Acropora humilis,digitate,-3.153836831,0
Acropora humilis,digitate,-3.96476409,0
Acropora humilis,digitate,-3.380045158,0
Acropora hyacinthus,tabular,-2.158576038,0
Acropora hyacinthus,tabular,-1.118379855,0
Acropora hyacinthus,tabular,-1.462302933,0
Acropora hyacinthus,tabular,-2.301842525,0
Acropora hyacinthus,tabular,-1.089557414,0
Acropora hyacinthus,tabular,-1.654945267,0
Acropora hyacinthus,tabular,-2.942111718,0
Acropora hyacinthus,tabular,-1.46146776,0
Acropora hyacinthus,tabular,-3.440429403,0
Acropora hyacinthus,tabular,-2.090145462,0
Acropora hyacinthus,tabular,-3.972939525,0
Acropora hyacinthus,tabular,-0.470719577,0
Acropora hyacinthus,tabular,0.013033747,0
Acropora hyacinthus,tabular,-3.081737332,0
Acropora hyacinthus,tabular,-1.689982834,0
Acropora hyacinthus,tabular,-2.369638001,0
Acropora hyacinthus,tabular,-1.682851002,1
Acropora hyacinthus,tabular,-1.273350115,0
Acropora hyacinthus,tabular,-3.129170917,0
Acropora hyacinthus,tabular,-2.017931498,0
Acropora hyacinthus,tabular,-3.339719556,1
Acropora hyacinthus,tabular,-1.335235446,0
Acropora hyacinthus,tabular,-2.43952738,0
Acropora hyacinthus,tabular,-1.153529214,0
Acropora hyacinthus,tabular,-2.307114139,0
Acropora hyacinthus,tabular,-1.593194712,0
Acropora hyacinthus,tabular,-1.670191703,0
Acropora hyacinthus,tabular,-1.447422841,0
Acropora hyacinthus,tabular,-1.294528857,0
Acropora hyacinthus,tabular,-2.626756027,0
Acropora hyacinthus,tabular,-0.956463124,1
Acropora hyacinthus,tabular,-1.822824784,0
Acropora hyacinthus,tabular,-1.835847351,0
Acropora hyacinthus,tabular,-0.800549994,0
Acropora hyacinthus,tabular,-1.831137795,0
Acropora hyacinthus,tabular,-3.571001802,0
Acropora hyacinthus,tabular,-2.785407229,0
Acropora hyacinthus,tabular,-1.173687125,0
Acropora hyacinthus,tabular,-2.854275975,0
Acropora hyacinthus,tabular,-1.589247563,0
Acropora hyacinthus,tabular,-5.037997021,0
Acropora hyacinthus,tabular,-0.141763872,0
Acropora hyacinthus,tabular,-0.10094397,1
Acropora hyacinthus,tabular,-1.465743817,0
Acropora hyacinthus,tabular,-3.164505173,0
Acropora hyacinthus,tabular,-1.129750822,0
Acropora hyacinthus,tabular,-2.014678452,1
Acropora hyacinthus,tabular,-1.112014584,0
Acropora hyacinthus,tabular,-1.792329115,0
Acropora hyacinthus,tabular,-0.972174241,0
Acropora hyacinthus,tabular,-1.602310095,0
Acropora hyacinthus,tabular,-1.24079155,0
Acropora hyacinthus,tabular,-1.138002717,0
Acropora hyacinthus,tabular,-0.941526076,0
Acropora hyacinthus,tabular,-1.340915523,0
Acropora hyacinthus,tabular,-5.144804553,0
Acropora hyacinthus,tabular,-3.502962216,0
Acropora hyacinthus,tabular,-1.313135058,0
Acropora hyacinthus,tabular,-1.999512104,1
Acropora hyacinthus,tabular,-0.738549119,0
Acropora hyacinthus,tabular,-1.367845736,0
Acropora hyacinthus,tabular,-3.475328445,1
Acropora hyacinthus,tabular,-2.541937481,0
Acropora hyacinthus,tabular,-2.709971826,0
Acropora hyacinthus,tabular,-2.32459359,0
Acropora hyacinthus,tabular,-1.143697015,0
Acropora hyacinthus,tabular,-4.15314617,0
Acropora hyacinthus,tabular,0.00538869,1
Acropora hyacinthus,tabular,-1.395056491,1
Acropora hyacinthus,tabular,-3.031576716,0
Acropora hyacinthus,tabular,-1.085359031,0
Acropora hyacinthus,tabular,-0.904546184,0
Acropora hyacinthus,tabular,-1.548914961,0
Acropora hyacinthus,tabular,-0.973672189,1
Acropora hyacinthus,tabular,-1.157151749,0
Acropora hyacinthus,tabular,-1.057338215,0
Acropora hyacinthus,tabular,-1.707004688,0
Acropora hyacinthus,tabular,-5.26138754,1
Acropora hyacinthus,tabular,-1.376187347,1
Acropora hyacinthus,tabular,-1.41368211,0
Acropora hyacinthus,tabular,-1.844104267,1
Acropora intermedia,arborescent,-0.654670333,0
Acropora intermedia,arborescent,-3.691996452,1
Acropora intermedia,arborescent,-3.901979857,1
Acropora intermedia,arborescent,-5.34465558,0
Acropora intermedia,arborescent,-3.303056778,1
Acropora intermedia,arborescent,-1.800679144,0
Acropora intermedia,arborescent,-5.269491648,1
Acropora intermedia,arborescent,-2.839119264,0
Acropora intermedia,arborescent,-2.080932996,0
Acropora intermedia,arborescent,-1.120503515,0
Acropora intermedia,arborescent,-2.176755902,0
Acropora intermedia,arborescent,-2.635489106,0
Acropora intermedia,arborescent,-3.296832924,0
Acropora intermedia,arborescent,-2.9959638,0
Acropora intermedia,arborescent,-2.704590848,0
Acropora intermedia,arborescent,-2.08063467,0
Acropora intermedia,arborescent,-3.090369489,0
Acropora intermedia,arborescent,-4.389828201,1
Acropora intermedia,arborescent,-4.963073263,0
Acropora intermedia,arborescent,-3.421199378,0
Acropora intermedia,arborescent,-0.433893981,0
Acropora intermedia,arborescent,-5.159752862,0
Acropora intermedia,arborescent,-2.082632062,0
Acropora intermedia,arborescent,-2.620108483,0
Acropora intermedia,arborescent,-1.619086579,0
Acropora intermedia,arborescent,-1.430416775,0
Acropora intermedia,arborescent,-0.87486063,0
Acropora intermedia,arborescent,-2.321058124,0
Acropora intermedia,arborescent,-2.19401383,0
Acropora intermedia,arborescent,-4.038039004,0
Acropora intermedia,arborescent,-2.831538005,0
Acropora intermedia,arborescent,-2.663351815,0
Acropora intermedia,arborescent,-5.377579464,0
Acropora intermedia,arborescent,-5.34349536,1
Acropora intermedia,arborescent,-3.891117247,0
Acropora intermedia,arborescent,-4.482477129,0
Acropora intermedia,arborescent,-5.881807651,0
Acropora intermedia,arborescent,-4.44118988,1
Acropora intermedia,arborescent,-0.985756096,0
Acropora intermedia,arborescent,-4.690735019,1
Acropora intermedia,arborescent,-2.450947879,0
Acropora intermedia,arborescent,-2.626149571,0
Acropora intermedia,arborescent,-2.981198874,0
Acropora intermedia,arborescent,-0.740004856,0
Acropora intermedia,arborescent,-2.140255904,0
Acropora intermedia,arborescent,-2.007172369,0
Acropora intermedia,arborescent,-6.250424781,0
Acropora intermedia,arborescent,-3.508296719,0
